source;target
Askrlfess;NA
ter_imark;NA
cariviralcom;NA
matamata_com;NA
kecoasu;aghelp
aghelp;kecoasu
peachytals;NA
doddy_mars;NA
triznesia;NA
kecolokeskrim;NA
inthemorninng;NA
doparampo;NA
cmladzral;NA
gnstje;NA
bioruto;NA
nisalelahsekali;NA
indah_p_sary;NA
lahkangalucu;NA
pikiran_rakyat;NA
winzermelontong;NA
doddy_mars;NA
with__changsub;NA
sarkrn;AREAJULID
doddy_mars;NA
Nandaprtw;NA
anttimoo;NA
withloveiwang;NA
dennydhln;NA
doddy_mars;NA
ahmed_die;NA
thavosss;NA
jelsarubyjane;NA
mhacyhudi;NA
cimawtt;iqballl___
donatmanisss;NA
mamacan25998072;NA
donatmanisss;NA
sicutcutt;NA
KapanLagicom;NA
RofiahKhoirotur;NA
nrhlzaa_;NA
Dinayyss;NA
aristyook;NA
Dzakimrd;NA
flatlininggg;NA
gubernurjekarda;NA
jubayendah;NA
KadgaAga;NA
shineeprl;NA
nm4ziz;NA
widiyculous;NA
isniii96;NA
XIAOJJH;NA
doddy_mars;NA
khaidirali_;NA
icha_francesca;NA
ghaninanda;NA
doddy_mars;NA
no_jamu;twitnyapimma
behappyeaah;twitnyapimma
doddy_mars;NA
dinarmn;NA
bujurbadak;NA
kalandraptr;thanaa0ch1
thanaa0ch1;kalandraptr
pixiiesss;NA
dindotsthought;NA
rianse;hotsummerxnite
gigihprytn;NA
hotsummerxnite;NA
agannyi;NA
alfyyyaa;NA
unjunely;NA
AjengBella99;NA
KakGigi;NA
larazzxx;NA
akudankenanga;muerdhy
denillanaya;NA
Indrijulian_;NA
ibnu_canggih;NA
akunga;twitnyapimma
peachynighty;NA
________chio;NA
dnvous;NA
angelictorns;twitnyapimma
linskinjourn;twitnyapimma
twitnyapimma;NA
ghudhethamha;NA
matchalatte_47;NA
nasarianaz;NA
Skikom1;NA
doyoulikestars;NA
ceezc;ashxeren
doddy_santiago;creamypi3
doddy_mars;NA
ltaeyonglt;NA
astheriaaa;NA
ekaoctavyni;NA
regiaudry;NA
calonnyahabibie;NA
chacaanea;NA
vidiaurias;NA
